id,fund_manager,fund,fund_all_names,fund_tickers_sec,classes,e_vote,s_vote,g_vote,e_support,s_support,g_support,e_support_total,s_support_total,g_support_total,fund_is_esg
346,0,BlackRock Aurora Portfolio,['BLACKROCK AURORA PORTFOLIO'],"['SSRPX', 'SSRRX', 'SSRDX', 'SSRCX', 'SSRSX', 'SSRAX']",['INVESTOR B' 'R' 'INVESTOR C' 'INSTITUTIONAL' 'SERVICE' 'INVESTOR A'],4,5,14,75,0,71.42857143,3,0,10,0
347,0,BlackRock Small/Mid Cap Growth Portfolio,['BLACKROCK SMALL/MID CAP GROWTH PORTFOLIO'],"['SSPRX', 'SSEGX', 'SSPSX', 'SCGAX', 'SRCBX', 'SGCDX']",['R' 'INSTITUTIONAL' 'SERVICE' 'INVESTOR A' 'INVESTOR B' 'INVESTOR C'],2,2,6,0,0,66.66666667,0,0,4,0
348,0,BlackRock Capital Appreciation Portfolio,['BLACKROCK CAPITAL APPRECIATION PORTFOLIO'],"['SRLSX', 'SSSLX', 'SRLAX', 'SRLPX', 'SRLCX']","['INSTITUTIONAL' 'SERVICE' 'INVESTOR A' 'INVESTOR B' 'R Shares'
 'INVESTOR C']",13,44,63,0,6.818181818,47.61904762,0,3,30,0
349,0,BlackRock Health Sciences Opportunities Portfolio,['BLACKROCK HEALTH SCIENCES OPPORTUNITIES PORTFOLIO'],"['SHSSX', 'SHISX', 'SHSAX', 'SHSPX', 'SHSCX']","['R Shares' 'INSTITUTIONAL' 'SERVICE' 'INVESTOR A' 'INVESTOR B'
 'INVESTOR C']",24,86,158,0,2.325581395,22.78481013,0,2,36,0
350,0,BlackRock Exchange Portfolio,['BLACKROCK EXCHANGE PORTFOLIO'],['STSEX'],BLACKROCK,64,183,192,3.125,1.092896175,14.0625,2,2,27,0
351,0,BlackRock Advantage International Fund,"['BLACKROCK GLOBAL OPPORTUNITIES PORTFOLIO', 'BLACKROCK ADVANTAGE INTERNATIONAL FUND']",['BROIX'],"['R Shares' 'INVESTOR C CLASS' 'INSTITUTIONAL CLASS' 'SERVICE CLASS'
 'INVESTOR A CLASS' 'INVESTOR B CLASS']",64,133,145,1.5625,0,26.89655172,1,0,39,0
352,0,BlackRock World Gold Fund,['BlackRock World Gold Fund'],['MIGGMFI'],['Investor C' 'Institutional' 'Investor A'],3,2,1,0,0,100,0,0,1,0
353,0,BlackRock Emerging Markets Dividend Fund,"['BlackRock China Fund', 'BlackRock Emerging Markets Dividend Fund']","['BLKCHA2', 'BACHX']",['Institutional Shares' 'Investor A Shares' 'Investor C Shares'],3,6,9,0,0,55.55555556,0,0,5,0
354,0,BlackRock Global Long/Short Credit Fund,"['BlackRock Absolute Return Global Bond Portfolio', 'BlackRock Global Long/Short Credit Fund']","['BRGARA2', 'BGCIX']",['Institutional Shares' 'Investor A Shares' 'Investor C Shares'],9,12,10,0,0,10,0,0,1,0
355,0,BlackRock Commodity Strategies Fund,"['BlackRock Commodity Strategies Portfolio', 'BlackRock Commodity Strategies Fund']",['BICSX'],['Investor A Shares' 'Investor C Shares' 'Institutional Shares'],65,75,45,4.615384615,1.333333333,20,3,1,9,0
357,0,BlackRock Real Estate Securities Fund,['BlackRock Real Estate Securities Fund'],['BIREX'],['Class K' 'Institutional Shares' 'Investor A Shares' 'Investor C Shares'],1,2,7,0,0,14.28571429,0,0,1,0
358,0,BlackRock Advantage Small Cap Core Fund,"['BlackRock Disciplined Small Cap Core Fund', 'BlackRock Advantage Small Cap Core Fund']","['BDSAX', 'BDSCX', 'BDSIX', 'BDSKX']",['Investor A Shares' 'Investor C Shares' 'Institutional Shares' 'Class K'],7,14,43,0,7.142857143,69.76744186,0,1,30,0
359,0,BlackRock Multi-Manager Alternative Strategies Fund,"['BlackRock Multi-Manager Alternatives Fund', 'BlackRock Multi-Manager Alternative Strategies Fund']",['BSASA2U'],['Institutional Shares' 'Investor A Shares' 'Investor C Shares'],4,12,21,0,0,28.57142857,0,0,6,0
360,0,BlackRock Macro Themes Fund,['BlackRock Macro Themes Fund'],['BTHIX'],['Institutional' 'Investor A' 'Investor C'],11,24,10,9.090909091,0,20,1,0,2,0
361,0,BlackRock Alternative Capital Strategies Fund,['BlackRock Alternative Capital Strategies Fund'],['BAMBX'],['Institutional' 'Investor A' 'Investor C'],16,43,31,0,0,6.451612903,0,0,2,0
362,0,iShares Russell Mid-Cap Index Fund,"['BlackRock Midcap Index Fund', 'iShares Russell Mid-Cap Index Fund']",['BRMIX'],['Class K' 'Institutional' 'Investor A'],86,138,236,9.302325581,7.971014493,37.28813559,8,11,88,0
